FurID,ZeroTo30,ThirtyOneToSixty,SixtyOneToNinety,NinetyOneToOneTwenty,OneTwentyOneToOneEighty,MoreThanOneEighty
FUR17398523456,0.0,0.0,1558.8,1558.8,1558.8,0.07000000000061846
FUR17398526664,252.6,0.0,0.0,0.0,0.0,0.0
FUR17398552038,0.0,0.0,0.0,929.5,0.0,0.0
FUR17398587523,0.0,0.0,0.0,0.0,867.7899999999998,0.0
FUR17398633226,0.0,0.0,680.86,680.86,680.86,680.56
FUR17398639444,0.0,0.0,0.0,1149.52,0.0,0.0
FUR17398641005,0.0,0.0,0.0,0.0,588.8199999999999,0.5200000000000955
FUR17398660910,0.0,0.0,0.0,0.0,898.3399999999999,0.0
FUR17398669961,160.51,0.0,0.0,0.0,0.0,0.0
FUR17398674842,0.0,0.0,0.0,0.0,1859.34,0.0
FUR17398683048,619.18,0.0,0.0,0.0,0.0,0.0
FUR17398688406,231.7239344,290.11606560000007,0.0,0.0,0.0,0.0
FUR17398696177,417.2298361,883.82,510.1901639,0.0,0.0,0.0
FUR17398721027,69.75,0.0,0.0,0.0,0.0,0.0
FUR17398724690,1155.5357377999999,784.98,784.98,784.98,784.98,3373.7642622000003
FUR17398727967,0.0,0.0,0.0,0.0,7504.0,0.0
FUR17398744747,2421.7,0.0,0.0,0.0,0.0,0.0
FUR17398753337,0.0,0.0,541.62,541.62,541.62,541.7199999999998
FUR17398764022,1801.6493443,341.27065570000036,0.0,0.0,0.0,0.0
FUR17398772874,0.0,0.0,0.0,0.0,0.0,1527.0
FUR17398796228,0.0,0.0,0.0,0.0,0.0,12818.82
FUR17398813382,991.47,0.0,0.0,0.0,0.0,0.0
FUR17398821999,0.0,0.0,4458.24,4458.24,4458.04,0.0
FUR17398825560,93.76,0.0,0.0,0.0,0.0,0.0
FUR17398838844,2860.34,0.0,0.0,0.0,0.0,0.0
FUR17398839409,5279.96590156,985.5140984399991,0.0,0.0,0.0,0.0
FUR17398842875,0.0,0.0,0.0,0.0,0.0,6988.21
FUR17398853067,0.0,0.0,0.0,0.0,1703.92,0.0
FUR17398865622,0.0,0.74,0.0,0.0,0.0,0.0
FUR17398873169,0.0,0.0,0.0,0.0,0.0,75.34
FUR17398882048,0.0,0.0,0.0,0.0,4762.200000000001,0.0
FUR17398888509,1952.6999999999998,0.0,0.0,0.0,0.0,0.0
FUR17398893501,0.0,0.0,2959.44,0.0,0.0,0.0
FUR17398895786,0.0,0.0,0.0,0.0,0.0,3274.78
FUR17398913615,1028.32,0.0,0.0,0.0,0.0,0.0
FUR17398920565,0.0,0.0,7161.76,7161.76,7161.76,7161.670000000002
FUR17398928917,0.0,0.0,0.0,0.0,641.92,0.44000000000005457
FUR17398938522,5153.2491805,1746.2908194999995,0.0,0.0,0.0,0.0
FUR17398946342,0.0,0.0,0.0,0.0,11331.119999999999,1569.880000000001
FUR17398949749,0.0,0.0,1511.67,0.0,0.0,0.0
FUR17398961889,0.0,0.0,5431.56,5431.5599999999995,5431.56,0.12999999999919964
FUR17398969898,1486.8,0.0,0.0,0.0,0.0,0.0
FUR17398974052,0.0,0.0,0.0,0.0,3962.26,2734.0299999999997
FUR17399020025,3069.3,0.0,0.0,0.0,0.0,0.0
FUR17399022614,0.0,0.0,0.0,0.0,3386.83,0.0
FUR17399058663,0.0,0.0,0.0,0.0,12642.0,204.0599999999995
FUR17399067881,0.0,0.0,0.0,0.0,93.79,0.0
FUR17399075864,4416.74,0.0,4416.74,4416.74,2046.0500000000015,0.0
FUR17399087928,2448.5,0.0,0.0,0.0,0.0,0.0
FUR17399092970,0.0,0.0,0.0,0.0,7971.799999999999,3853.1400000000012
FUR17399093847,0.0,0.0,1301.54,1301.54,1249.8600000000001,0.0
FUR17399096035,0.0,982.0,0.0,0.0,0.0,0.0
FUR17399137967,0.0,0.0,0.0,0.0,0.0,1548.2
FUR17399165459,422.03,0.0,0.0,0.0,0.0,0.0
FUR17399225597,0.0,0.0,1674.42,1674.42,1674.42,1673.92
FUR17399291651,900.8760656000001,774.08,430.7439343999995,0.0,0.0,0.0
FUR17399295530,1003.6091802999999,0.0,639.2308197000001,0.0,0.0,0.0
FUR17399316667,3466.6339345,144.16606550000057,0.0,0.0,0.0,0.0
FUR17399322880,899.78,0.0,0.0,0.0,0.0,0.0
FUR17399344587,521.56,0.0,0.0,0.0,0.0,0.0
FUR17399369067,0.0,1875.02,1874.5600000000002,0.0,0.0,0.0
FUR17399410728,0.0,948.72,948.72,964.1999999999999,546.3700000000003,0.0
FUR17399411403,1989.4400000000003,0.0,0.0,0.0,0.0,0.0
FUR17399412197,0.0,0.0,1471.46,1471.46,1471.46,1471.3400000000001
FUR17399427256,2261.95,0.0,0.0,0.0,0.0,0.0
FUR17399429021,59.41,0.0,0.0,0.0,0.0,0.0
FUR17399429218,1598.02,0.0,0.0,0.0,0.0,0.0
FUR17399448547,0.0,0.0,4277.05,4277.05,2337.400000000001,0.0
FUR17399466070,2327.7186885,0.0,1681.92,904.7213114999995,0.0,0.0
FUR17399471995,0.0,0.0,0.0,0.0,2356.34,0.0
FUR17399477469,0.0,0.0,619.5,619.5,563.4300000000001,0.0
FUR17399484057,0.0,0.0,463.74,463.74,463.74,463.29999999999995
FUR17399522697,0.0,0.0,0.0,0.0,0.0,1019.88
FUR17399523711,31.74,0.0,0.0,0.0,0.0,0.0
FUR17399547369,4546.79,0.0,0.0,0.0,0.0,0.0
FUR17399554315,0.0,0.0,0.0,0.0,686.6,0.0
FUR17399586523,2084.64,0.0,0.0,0.0,0.0,0.0
FUR17399636062,1337.51,0.0,0.0,0.0,0.0,0.0
FUR17399642191,0.0,1023.06,1023.06,0.13000000000010914,0.0,0.0
FUR17399651149,0.0,0.0,0.0,0.0,6133.11,0.0
FUR17399663668,0.0,0.0,0.0,0.0,0.0,428.72
FUR17399691028,4.72,0.0,0.0,0.0,0.0,0.0
FUR17399697911,0.0,2176.7,334.12,0.0,0.0,0.0
FUR17399716240,0.0,641.92,641.5600000000001,0.0,0.0,0.0
FUR17399739893,890.42,0.0,0.0,0.0,0.0,0.0
FUR17399753175,0.0,0.0,0.0,0.0,0.0,5404.3
FUR17399756368,0.0,1394.76,1297.1200000000001,0.0,0.0,0.0
FUR17399761538,0.0,0.0,0.0,0.0,774.08,0.4199999999999591
FUR17399762133,737.1088525,231.21114750000015,0.0,0.0,0.0,0.0
FUR17399772463,0.0,0.0,0.0,0.0,112.26,0.0
FUR17399786012,0.0,929.84,929.84,929.84,0.599999999999909,0.0
FUR17399788205,0.0,508.12,0.0,0.0,0.0,0.0
FUR17399791524,0.0,0.0,0.0,0.0,3858.27,0.0
FUR17399831897,0.0,0.0,0.0,4401.4,2200.3599999999997,0.0
FUR17399838722,138.57,0.0,0.0,0.0,0.0,0.0
FUR17399840287,0.0,0.0,0.0,0.0,6840.52,0.0
FUR17399843365,0.0,0.0,0.0,1154.86,0.0,0.0
FUR17399847746,0.0,0.0,0.0,0.0,0.0,3969.36
FUR17399850230,0.0,0.0,0.0,3281.92,6563.84,0.4499999999989086
FUR17399851324,0.0,0.0,1875.88,0.0,0.0,0.0
FUR17399876475,3072.93,0.0,0.0,0.0,0.0,0.0
FUR17399891726,0.0,0.0,0.53,0.0,0.0,0.0
FUR17399958451,0.0,0.0,0.0,0.0,883.55,0.0
FUR17399962759,0.0,0.0,0.0,0.0,0.0,1858.72
FUR17399968004,3761.172459,4462.27,4469.08,1808.9775409999997,0.0,0.0
FUR17399979013,0.0,2555.02,1383.26,0.0,0.0,0.0
FUR17399989864,0.0,117.96,0.0,0.0,0.0,0.0
FUR17399993264,2014.26,0.0,0.0,0.0,0.0,0.0
FUR17400044999,2169.34,0.0,0.0,0.0,0.0,0.0
FUR17400232516,0.0,733.9,0.0,0.0,0.0,0.0
FUR17400241571,2576.0183607999998,985.8516391999997,0.0,0.0,0.0,0.0
FUR17400265329,882.5383607,641.92,400.8416393,0.0,0.0,0.0
FUR17400270564,964.4413115,397.0886884999999,0.0,0.0,0.0,0.0
FUR17400280313,0.0,0.0,0.0,0.0,0.0,668.56
FUR17400291955,0.0,0.0,1782.98,1782.98,1782.98,0.22999999999956344
FUR17400322226,0.0,0.0,0.0,604.0,0.0,0.0
FUR17400328127,0.0,0.0,0.0,0.0,0.0,0.53
FUR17400358613,2387.36,0.0,0.0,0.0,0.0,0.0
FUR17400365539,1162.0699999999997,0.0,0.0,0.0,0.0,0.0
FUR17400367943,0.0,3594.2799999999997,3594.2799999999997,0.0,0.0,0.0
FUR17400380811,3318.255082,247.5149179999996,0.0,0.0,0.0,0.0
FUR17400385070,0.0,0.0,3569.5,3569.5,0.02999999999974534,0.0
FUR17400385087,1035.747541,664.052459,0.0,0.0,0.0,0.0
FUR17400411743,0.0,0.0,3386.88,3386.88,3386.5,0.0
FUR17400415203,0.0,0.0,8293.04,8293.04,8293.04,8292.600000000002
FUR17400425983,2305.2249182,5503.52,5503.52,5459.39,2359.4450817999987,0.0
FUR17400431786,0.0,0.0,0.0,13912.2,6956.1,6956.299999999999
FUR17400442740,0.0,0.0,0.0,0.0,5060.98,0.0
FUR17400453303,995.37,0.0,0.0,0.0,0.0,0.0
FUR17400476693,1510.9485246,840.99,675.3614754000002,0.0,0.0,0.0
FUR17400490295,2148.01,0.0,0.0,0.0,0.0,0.0
FUR17400494291,0.0,0.0,0.0,0.0,1038.4,1037.9699999999998
FUR17400528353,0.0,1550.52,1550.52,0.01999999999998181,0.0,0.0
FUR17400528850,0.0,0.0,0.0,0.0,0.0,3158.5500000000006
FUR17400533405,0.0,255.61,0.0,790.6,1502.9699999999998,0.0
FUR17400551578,0.0,680.86,680.68,0.0,0.0,0.0
FUR17400559808,0.0,3232.4900000000002,802.1899999999998,0.0,0.0,0.0
FUR17400570995,1351.9299999999998,0.0,0.0,0.0,0.0,0.0
FUR17400634384,0.0,0.0,0.0,0.0,0.0,95.65
FUR17400643480,0.0,0.0,0.0,7846.7,1597.2200000000012,0.0
FUR17400652174,159.2916,0.0,0.0,0.0,0.0,0.0
FUR17400653179,1472.58,0.0,0.0,0.0,0.0,0.0
FUR17400684546,1974.1800000000003,0.0,0.0,0.0,0.0,0.0
